trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2055,False,"{'a': 0.4, 'e': 0.02318795475945898}",25,15,16.34286120411849,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2056,False,"{'a': 0.4, 'e': 0.023145499856300385}",20,14,13.136397172059814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2057,False,"{'a': 0.4, 'e': 0.023103122683964597}",25,18,14.957368509323398,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2058,False,"{'a': 0.4, 'e': 0.023060823100133975}",30,13,30.893402636918672,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2059,False,"{'a': 0.4, 'e': 0.023018600962751466}",20,9,23.731019846755164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2060,False,"{'a': 0.4, 'e': 0.022976456130020098}",25,15,8.723766183228035,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2061,False,"{'a': 0.4, 'e': 0.022934388460402563}",25,13,23.261087169236998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2062,False,"{'a': 0.4, 'e': 0.022892397812620643}",20,10,17.950676769947002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2063,False,"{'a': 0.4, 'e': 0.022850484045654804}",20,11,18.50051684137582,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2064,False,"{'a': 0.4, 'e': 0.022808647018743685}",20,4,27.714214780856356,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2065,False,"{'a': 0.4, 'e': 0.022766886591383706}",20,9,23.895119064606057,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2066,False,"{'a': 0.4, 'e': 0.022725202623328472}",20,12,15.125172959440278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2067,False,"{'a': 0.4, 'e': 0.02268359497458839}",30,16,1.4038547655188758,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2068,False,"{'a': 0.4, 'e': 0.02264206350543016}",20,8,24.905788785591373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2069,False,"{'a': 0.4, 'e': 0.022600608076376365}",25,14,21.381999257562025,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2070,False,"{'a': 0.4, 'e': 0.02255922854820491}",20,1,33.57613695780557,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2071,False,"{'a': 0.4, 'e': 0.022517924781948615}",30,17,15.568148034407812,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
2072,False,"{'a': 0.4, 'e': 0.022476696638894723}",20,12,16.32522899931058,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2073,False,"{'a': 0.4, 'e': 0.0224355439805845}",20,13,1.9274339959003122,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2074,False,"{'a': 0.4, 'e': 0.022394466668812656}",20,11,18.142535068967344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2075,False,"{'a': 0.4, 'e': 0.02235346456562697}",20,9,3.0453423575409344,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
2076,False,"{'a': 0.4, 'e': 0.022312537533327768}",20,16,7.579585632031515,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2077,False,"{'a': 0.4, 'e': 0.02227168543446756}",20,7,23.558408907729106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2078,False,"{'a': 0.4, 'e': 0.022230908131850437}",20,6,23.625141437707157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2079,False,"{'a': 0.4, 'e': 0.022190205488531716}",25,14,23.80237999733061,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2080,False,"{'a': 0.4, 'e': 0.02214957736781742}",20,13,13.39007084288976,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2081,False,"{'a': 0.4, 'e': 0.0221090236332639}",20,13,12.82630389273561,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2082,False,"{'a': 0.4, 'e': 0.022068544148677278}",25,20,9.387515462105283,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2083,False,"{'a': 0.4, 'e': 0.022028138778113035}",20,12,13.40497505072955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2084,False,"{'a': 0.4, 'e': 0.021987807385875545}",25,19,11.360788149972187,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2085,False,"{'a': 0.4, 'e': 0.021947549836517685}",20,9,20.66544111033716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2086,False,"{'a': 0.4, 'e': 0.02190736599484026}",30,14,28.59084699859346,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2087,False,"{'a': 0.4, 'e': 0.021867255725891637}",25,15,21.093522146463055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2088,False,"{'a': 0.4, 'e': 0.021827218894967245}",20,11,19.423610167838767,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2089,False,"{'a': 0.4, 'e': 0.021787255367609195}",20,11,18.595562388265606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2090,False,"{'a': 0.4, 'e': 0.021747365009605727}",25,6,25.605075093778208,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2091,False,"{'a': 0.4, 'e': 0.02170754768699083}",20,10,19.02668948034624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2092,False,"{'a': 0.4, 'e': 0.021667803266043752}",20,5,27.660450923229863,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2093,False,"{'a': 0.4, 'e': 0.02162813161328862}",25,8,18.922389845270946,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2094,False,"{'a': 0.4, 'e': 0.021588532595493894}",20,16,8.26230996046783,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2095,False,"{'a': 0.4, 'e': 0.021549006079671987}",20,13,14.943728384917701,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2096,False,"{'a': 0.4, 'e': 0.021509551933078776}",25,6,29.18525849222831,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
2097,False,"{'a': 0.4, 'e': 0.021470170023213237}",20,13,1.9797093495129197,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2098,False,"{'a': 0.4, 'e': 0.021430860217816886}",20,10,17.96901254868768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2099,False,"{'a': 0.4, 'e': 0.021391622384873417}",20,11,14.799133374334607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2100,False,"{'a': 0.4, 'e': 0.021352456392608205}",30,22,7.806866585053896,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2101,False,"{'a': 0.4, 'e': 0.021313362109487952}",25,17,14.496718487431801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2102,False,"{'a': 0.4, 'e': 0.021274339404220133}",30,4,28.213457080636562,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
2103,False,"{'a': 0.4, 'e': 0.021235388145752612}",25,15,20.370441055858034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2104,False,"{'a': 0.4, 'e': 0.021196508203273196}",30,13,29.324101628994743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2105,False,"{'a': 0.4, 'e': 0.021157699446209235}",30,16,27.255254329458456,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
